연도,시도,종류,면적,단수,생산량
2019,전라북도,감자,"2,580","2,204","56,873"
2019,전라남도,감자,"3,205","2,757","88,353"
2019,경상북도,감자,"3,660","2,310","84,568"
2019,경상남도,감자,"2,680","2,236","59,918"
2019,제주도,감자,"1,653","1,939","32,059"
2020,계,감자,"23,599","2,344","553,194"
2020,서울특별시,감자,7,"2,460",180
2020,부산광역시,감자,100,"1,475","1,468"
2020,대구광역시,감자,87,"2,297","2,002"
2020,인천광역시,감자,177,"2,110","3,739"
2020,광주광역시,감자,42,"1,842",769
2020,대전광역시,감자,51,"2,157","1,100"
2020,울산광역시,감자,69,"2,012","1,380"
2020,세종특별자치시,감자,73,"1,617","1,187"
2020,경기도,감자,"1,691","2,450","41,430"
2020,강원도,감자,"5,253","3,154","165,702"
2020,충청북도,감자,"1,282","2,322","29,751"
2020,충청남도,감자,"2,159","2,342","50,561"
2020,전라북도,감자,"2,226","1,960","43,611"
2020,전라남도,감자,"2,788","2,095","58,409"
2020,경상북도,감자,"3,270","2,111","69,027"
2020,경상남도,감자,"2,761","1,839","50,779"
2020,제주도,감자,"1,565","2,051","32,099"
